Speaker,Utterance,Dialogue_Act,Dialogue_Id,Dialogue_Act_ISO
SYS,There is no restaurant in the central area and serving middleeastern food.,canthelp,train_2,None
USR,thank you and have a good day,bye,train_2,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_3,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_3,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_3,thanking
SYS,How may I help you?,welcomemsg,train_3,thanking
USR,moderately priced restaurant,inform,train_3,inform
SYS,What type of food would you like?,request,train_3,directive
SYS,"For example, Northern european, Fusion, or International.",request,train_3,directive
USR,fenditton,inform,train_3,inform
SYS,What type of food would you like?,request,train_3,directive
SYS,"For example, Drinks and snacks only, or Turkish.",request,train_3,directive
USR,turkish,inform,train_3,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_3,directive
SYS,"For example, Cafe Jello, Cherry Hinton Water Play, or Clare College.",request,train_3,directive
USR,fenditton area,inform,train_3,inform
SYS,There is no restaurant in the Girton area and serving turkish food.,canthelp,train_3,None
USR,fenditton,inform,train_3,inform
SYS,There is no restaurant in the Girton area and serving turkish food.,canthelp,train_3,None
USR,moderately priced restaurant,inform,train_3,inform
SYS,"Would you like a turkish food, or you don't care?",select,train_3,None
USR,dont care,inform,train_3,inform
SYS,"Would you like a girton area, or you don't care?",select,train_3,None
USR,fenditton area,inform,train_3,inform
SYS,"The Rainbow Cafe, which is in the Girton part of town, is an outstanding restaurant.",offer,train_3,commissive
SYS,It's in the moderate price range.,offer,train_3,commissive
USR,type of food,request,train_3,directive
SYS,"The Rainbow Cafe, which is in the Girton part of town, is an outstanding restaurant.",offer,train_3,commissive
SYS,It's in the moderate price range.,offer,train_3,commissive
USR,food,inform,train_3,inform
SYS,"The Rainbow Cafe, which is in the Girton part of town, is a great restaurant.",offer,train_3,commissive
SYS,It's in the moderate price range.,offer,train_3,commissive
USR,thank you good bye,bye,train_3,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_4,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_4,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_4,thanking
SYS,How may I help you?,welcomemsg,train_4,thanking
USR,im looking for a thai restaurant,inform,train_4,inform
SYS,What part of town do you have in mind?,request,train_4,directive
SYS,"For example, something in the Cherry Hinton, King's Hedges, or riverside area.",request,train_4,directive
USR,riverside,inform,train_4,inform
SYS,The Wrestlers is a great restaurant and it's in the riverside part of town.,offer,train_4,commissive
SYS,It serves thai food.,offer,train_4,commissive
USR,can i get a price and an address,request,train_4,directive
SYS,The Wrestlers is located on 337 Newmarket Road.,offer,train_4,commissive
SYS,The price for main courses ranges from 8 pounds 50 to 9 pounds 70 and the price for a cheapest pint of beer is 3 pounds 30.,offer,train_4,commissive
USR,thank you goodbye,bye,train_4,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_5,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_5,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_5,thanking
SYS,How may I help you?,welcomemsg,train_5,thanking
USR,yes im looking for an expensive greek restaurant,affirm,train_5,answer
SYS,"The Varsity, which serves greek food, is a great restaurant.",offer,train_5,commissive
SYS,It's in the expensive price range.,offer,train_5,commissive
USR,may i get the address and phone number,request,train_5,directive
SYS,The Varsity is located on 35 Saint Andrew's Street and its phone number is 01223356060.,offer,train_5,commissive
USR,may i have the post code,request,train_5,directive
SYS,The Varsity is in the area with the postcode CB2 3AR.,offer,train_5,commissive
USR,thank you good bye,bye,train_5,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_6,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_6,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_6,thanking
SYS,How may I help you?,welcomemsg,train_6,thanking
SYS,What kind of venue are you looking for?,request,train_6,directive
SYS,"For example, a cafe, or a restaurant.",request,train_6,directive
USR,contemporary,inform,train_6,inform
SYS,Are you looking for a cafe or a restaurant?,select,train_6,None
USR,thank partial,thankyou,train_6,thanking
SYS,Are you looking for a cafe or a restaurant?,select,train_6,None
USR,thank you goodbye,bye,train_6,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_7,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_7,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_7,thanking
SYS,How may I help you?,welcomemsg,train_7,thanking
USR,i need to find a pub that has a internet connection and allows children,inform,train_7,inform
SYS,What kind of price range are you looking for?,request,train_7,directive
SYS,"For example, cheap, expensive, or moderate.",request,train_7,directive
USR,it does not matter,inform,train_7,inform
SYS,What part of town do you have in mind?,request,train_7,directive
SYS,"For example, Arbury, or New Chesterton.",request,train_7,directive
USR,it does not matter,inform,train_7,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_7,directive
SYS,"For example, Little Saint Mary's, or Milton Country Park.",request,train_7,directive
USR,no,negate,train_7,disagreement
SYS,"The Bakers, which allows children, is an outstanding pub.",offer,train_7,commissive
USR,can i have the address phone number and postcode,request,train_7,directive
SYS,"The Bakers, which is in the area with the postcode CB1 1BG, is located on 176 East Road.",offer,train_7,commissive
SYS,Its phone number is 01223304121.,offer,train_7,commissive
USR,thank you goodbye,bye,train_7,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_8,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_8,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_8,thanking
SYS,How may I help you?,welcomemsg,train_8,thanking
SYS,What kind of venue are you looking for?,request,train_8,directive
SYS,"For example, a cafe.",request,train_8,directive
SYS,What kind of venue are you looking for?,request,train_8,directive
SYS,"For example, a cafe, or a pub.",request,train_8,directive
USR,im looking for a restaurant in the new chesterton area,inform,train_8,inform
SYS,"Hakka, which is in the New Chesterton part of town, is an outstanding restaurant.",offer,train_8,commissive
USR,im looking for a restaurant serving any kind of food in the new ches,inform,train_8,inform
SYS,"Hakka, which is in the New Chesterton part of town, is an outstanding restaurant.",offer,train_8,commissive
USR,what is the address and price range,request,train_8,directive
SYS,Hakka is located on 24 Milton Road.,offer,train_8,commissive
SYS,The price for main courses ranges from 5 pounds to 13 pounds.,offer,train_8,commissive
USR,what is the address and price range,request,train_8,directive
SYS,Hakka is located on 24 Milton Road.,offer,train_8,commissive
SYS,The price for main courses ranges from 5 pounds to 13 pounds.,offer,train_8,commissive
SYS,Hakka is an outstanding restaurant.,offer,train_8,commissive
USR,what is the price range,request,train_8,directive
SYS,Hakka is in the moderate price range.,offer,train_8,commissive
SYS,The price for main courses ranges from 5 pounds to 13 pounds.,offer,train_8,commissive
SYS,Hakka is a great restaurant.,offer,train_8,commissive
SYS,Hakka is a great restaurant.,offer,train_8,commissive
USR,what is the price range,request,train_8,directive
SYS,Hakka is in the moderate price range.,offer,train_8,commissive
USR,what is the p,,train_8,
SYS,Hakka is an outstanding venue.,offer,train_8,commissive
SYS,The price for main courses ranges from 5 pounds to 13 pounds.,offer,train_8,commissive
USR,thank you goodbye,bye,train_8,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_9,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_9,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_9,thanking
SYS,How may I help you?,welcomemsg,train_9,thanking
USR,im looking for a pub with an internet connection and television,inform,train_9,inform
SYS,What part of town do you have in mind?,request,train_9,directive
SYS,"For example, something in the Arbury, Barnwell, or Trumpington area.",request,train_9,directive
USR,i dont care,inform,train_9,inform
SYS,The Alma is an outstanding pub.,offer,train_9,commissive
USR,does that have an internet connection,request,train_9,directive
SYS,The Alma doesn't have any internet connection.,offer,train_9,commissive
USR,i would like to look for another venue,reqalts,train_9,directive
SYS,The Alma is a great pub.,offer,train_9,commissive
USR,i would like to look for a pub,inform,train_9,inform
SYS,The Alma is a great pub.,offer,train_9,commissive
USR,i would like to look for a different one,reqalts,train_9,directive
SYS,The Alma is an outstanding pub.,offer,train_9,commissive
USR,no thank you,negate,train_9,disagreement
SYS,The Alma is an outstanding pub.,offer,train_9,commissive
USR,no,negate,train_9,disagreement
SYS,The Alma is an outstanding pub.,offer,train_9,commissive
USR,i would like to look for a different pub please,reqalts,train_9,directive
SYS,The Alma is an outstanding pub.,offer,train_9,commissive
USR,im looking for a pub with an internet connection,inform,train_9,inform
SYS,"The Bakers, which has an internet connection, is an outstanding pub.",offer,train_9,commissive
USR,does it have television,request,train_9,directive
SYS,I am sorry but there is no information on The Bakers's food.,canthelp.missing_slot_value,train_9,None
USR,does it have a tv,request,train_9,directive
SYS,The Bakers has a television.,offer,train_9,commissive
USR,what is the address,request,train_9,directive
SYS,The Bakers is located on 176 East Road.,offer,train_9,commissive
USR,what is the price range,request,train_9,directive
SYS,The Bakers is in the cheap price range.,offer,train_9,commissive
SYS,The Bakers is an outstanding pub.,offer,train_9,commissive
USR,thank you,thankyou,train_9,thanking
SYS,The Baron of Beef is a great pub and it's in the cheap price range.,offer,train_9,commissive
USR,thank you goodbye,bye,train_9,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_10,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_10,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_10,thanking
SYS,How may I help you?,welcomemsg,train_10,thanking
USR,im looking for a pub that has internet connection and allows children,inform,train_10,inform
SYS,"The Bakers, which allows children, is a great pub with an internet connection.",offer,train_10,commissive
USR,can you give the address phone number and the area,request,train_10,directive
SYS,The Bakers is located on 176 East Road and its phone number is 01223304121.,offer,train_10,commissive
USR,what area is it located in,request,train_10,directive
SYS,The Bakers is in the riverside part of town.,offer,train_10,commissive
SYS,The Bakers is an outstanding pub.,offer,train_10,commissive
SYS,The Bakers is a great pub.,offer,train_10,commissive
USR,what area is it in,request,train_10,directive
SYS,The Bakers is in the riverside part of town.,offer,train_10,commissive
USR,i thank you goodbye,thankyou,train_10,thanking
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_11,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_11,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_11,thanking
SYS,How may I help you?,welcomemsg,train_11,thanking
SYS,What kind of venue are you looking for?,request,train_11,directive
SYS,"For example, a pub, or a restaurant.",request,train_11,directive
USR,a restaurant food for free,inform,train_11,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_11,directive
SYS,"For example, Great Saint Mary's Church, Pembroke College, or Saint John's College.",request,train_11,directive
USR,no,negate,train_11,disagreement
SYS,What part of town do you have in mind?,request,train_11,directive
SYS,"For example, something in the Cherry Hinton, central, or Trumpington area.",request,train_11,directive
USR,i dont care,inform,train_11,inform
SYS,The Michaelhouse Centre is an outstanding restaurant and it doesn't charge any entrance fee.,offer,train_11,commissive
SYS,"The Michaelhouse Centre, which doesn't charge any entrance fee, is an outstanding restaurant.",offer,train_11,commissive
USR,i dont care i dont have a preference,inform,train_11,inform
SYS,"The Michaelhouse Centre, which doesn't charge any entrance fee, is an outstanding restaurant.",offer,train_11,commissive
USR,whats the phone number,request,train_11,directive
SYS,The phone number of the Michaelhouse Centre is 01223309147.,offer,train_11,commissive
USR,phone number,request,train_11,directive
SYS,The phone number of the Michaelhouse Centre is 01223309147.,offer,train_11,commissive
USR,<unk> the address,request,train_11,directive
SYS,"The Michaelhouse Centre is on Michaelhouse, Trinity Street.",offer,train_11,commissive
USR,the address,request,train_11,directive
SYS,"The Michaelhouse Centre is located on Michaelhouse, Trinity Street.",offer,train_11,commissive
USR,thank you good bye,bye,train_11,goodbye
