Speaker,Utterance,Dialogue_Act,Dialogue_Id,Dialogue_Act_ISO
b,yeah,ackn,080517006,feedback
a,okay,init,080517006,discourse
a,do you have your account number there at all,reqInfo,080517006,directive
b,hello,greet,080659012,greeting
b,uh it's here from um i still owe you pounds from um my phone bill um i can't pay it um it's not that i haven't got the money it's that me son's gone and cut me card up right it's yes it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,identifySelf,080659012,None
b,um i still owe you pounds from um my phone bill,inform,080659012,inform
b,um i can't pay it um,inform,080659012,inform
b,it's not that i haven't got the money,inform,080659012,inform
b,it's that me son's gone and cut me card up,inform,080659012,inform
a,mm mm,backch,080659012,feedback
a,ah right okay,ackn,080659012,feedback
a,and we can get a replacement sent out for you,inform,080659012,inform
b,right,ackn,080659012,feedback
b,it's yes it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,answ,080659012,answer
a,mm mm,ackn,080659012,feedback
a,okay,ackn,080659012,feedback
a,and can you just confirm the address with the postcode for it,reqInfo,080659012,directive
b,yes,ackn,080659012,feedback
b,it's for and for no i've got me money but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,answ,080659012,answer
a,lovely,appreciate,080659012,feedback
a,thank you right so you haven't actually got the payment card no right let's just have a little look right okay the quickest thing i'll do is is to send you a payment slip okay then you can pay that through the post office so you'll get sorry,thank,080659012,thanking
a,right,ackn,080659012,feedback
a,so,init,080659012,discourse
a,you haven't actually got the payment card,confirm,080659012,answer
a,no,ackn,080659012,feedback
b,no,ackn,080659012,feedback
b,i've got me money,inform,080659012,inform
b,but i haven't got the card yeah oh that's brilliant will it will will i be charged anything for that,inform,080659012,inform
a,right,ackn,080659012,feedback
a,let's just have a little look right okay the quickest thing i'll do is is to send you a payment slip okay then you can pay that through the post office so you'll get sorry,informIntent-hold,080659012,None
a,right okay,init,080659012,discourse
a,the quickest thing i'll do is is to send you a payment slip okay,informIntent,080659012,commissive
b,yeah,ackn,080659012,feedback
a,then you can pay that through the post office,inform,080659012,inform
b,oh that's brilliant,accept,080659012,agreement
a,so,init,080659012,discourse
a,sorry,pardon,080659012,apology
b,will i be charged anything for that,reqInfo,080659012,directive
b,oh uh i have a query about our billing,inform,080858011,inform
a,right,ackn,080858011,feedback
a,yes,ackn,080858011,feedback
a,can i take your telephone number please,reqInfo,080858011,directive
b,yes,ackn,080858011,feedback
b,uh yes my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,answ,080858011,answer
a,yes,ackn,080858011,feedback
a,yes,ackn,080858011,feedback
a,thank you can you just confirm your name and address for me please yeah lovely how can i help mister right mm mm right,thank,080858011,thanking
a,can you just confirm your name and address for me please,reqInfo,080858011,directive
b,yes,ackn,080858011,feedback
b,my my name is uh initial and my address is flat number uh okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,answ,080858011,answer
a,yeah,backch,080858011,feedback
a,lovely,appreciate,080858011,feedback
a,how can i help mister right mm mm right,offer,080858011,commissive
b,okay i'm looking scuse me i'm looking at my bill uh actually it's a statement a budget account statement which is dated the twenty sixth of June and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,ackn,080858011,feedback
b,i'm looking scuse me i'm looking at my bill,inform,080858011,inform
b,uh actually it's a statement a budget account statement which is dated the twenty sixth of June,correctSelf,080858011,disagreement
a,right,backch,080858011,feedback
a,mm mm,ackn,080858011,feedback
b,and uh on page scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,inform,080858011,inform
b,scuse me on yes on the section that says oh dear me ah yes on page section says other charges and credits,expressRegret,080858011,apology
b,on yes on the section that says oh dear me ah yes on page section says other charges and credits,inform,080858011,inform
b,oh dear me,exclaim,080858011,None
b,ah yes,ackn,080858011,feedback
b,on page section says other charges and credits,inform,080858011,inform
a,right,ackn,080858011,feedback
b,hi,greet,081018012,greeting
b,every time i get an engaged tone on my phone,inform,081018012,inform
b,i'm getting one of your recorded messages telling me about Ringback,inform,081018012,inform
b,can we get rid of it,reqModal,081018012,directive
a,you don't want the prompt on there,confirm,081018012,answer
a,no,confirm,081018012,answer
b,no,ackn,081018012,feedback
b,thank you,thank,081018012,thanking
a,right,ackn,081018012,feedback
a,yeah,ackn,081018012,feedback
a,yeah,ackn,081018012,feedback
a,okay,ackn,081018012,feedback
a,and can you confirm your name and your address for me please,direct,081018012,directive
b,the name's the address is place} that's fine thanks a lot bye,identifySelf,081018012,None
b,the address is place} that's fine thanks a lot bye,inform,081018012,inform
a,lovely,ackn,081018012,feedback
a,thank you,thank,081018012,thanking
a,bear with me just a second just see how quickly we could do that for you right okay thats' fine that will actually come sort of within the next couple of hours okay alright thank you byebye,hold,081018012,turn
a,just see how quickly we could do that for you right okay thats' fine that will actually come sort of within the next couple of hours okay alright thank you byebye,inform,081018012,inform
a,right okay,ackn,081018012,feedback
a,thats' fine,inform,081018012,inform
a,that will actually come sort of within the next couple of hours okay,inform,081018012,inform
b,that's fine,accept,081018012,agreement
a,alright,ackn,081018012,feedback
b,thanks a lot,thank,081018012,thanking
a,thank you,thank,081018012,thanking
a,byebye,bye,081018012,goodbye
b,bye,bye,081018012,goodbye
b,oh good morning,greet,081110006,greeting
b,it's reference to your My Bill service,inform,081110006,inform
a,that's fine,accept,081110006,agreement
b,i keep getting told by the very nice young lady with the very nice voice that uh i've got the wrong number,inform,081110006,inform
b,and it isn't,inform,081110006,inform
b,it's correct,inform,081110006,inform
b,i dialled this morning and the operator tried it for me said yes there's definitely a fault on the My Bill line report to at eight o'clock,inform,081110006,inform
a,that's fine,accept,081110006,agreement
a,it's actually but i can report that for you that's no problem no no no that's okay faults is actually so you can ring them direct and get straight through to faults and they will be able to um report that is it the Call My Bill number oh goodness right what is your telephone number and i'll check that for you yes they certainly are yes yeah that would be lovely thank you yeah,inform,081110006,inform
a,but i can report that for you,offer,081110006,commissive
a,that's no problem,accept,081110006,agreement
b,oh i'm sorry,expressRegret,081110006,apology
b,i got the wrong number,inform,081110006,inform
b,beg your pardon,expressRegret,081110006,apology
a,no no no,negate,081110006,disagreement
a,that's okay,accept,081110006,agreement
a,faults is actually so you can ring them direct and get straight through to faults and they will be able to um report that is it the Call My Bill number oh goodness right what is your telephone number and i'll check that for you yes they certainly are yes yeah that would be lovely thank you yeah,inform,081110006,inform
a,so,init,081110006,discourse
a,you can ring them direct and get straight through to faults and they will be able to um report that is it the Call My Bill number,inform,081110006,inform
b,the Call My Bill,confirm,081110006,answer
b,no,negate,081110006,disagreement
b,i no i i get through alright,inform,081110006,inform
b,but when i put on information through,inform,081110006,inform
b,i keep getting told that i've called to the wrong phone number,inform,081110006,inform
b,but i haven't,inform,081110006,inform
a,oh goodness,exclaim,081110006,None
a,right,ackn,081110006,feedback
a,what is your telephone number,reqInfo,081110006,directive
a,and i'll check that for you,informIntent,081110006,commissive
b,yes,ackn,081110006,feedback
b,a this what the ah uh did for me,inform,081110006,inform
b,these calls are free by the way aren't they,reqInfo,081110006,directive
a,yes,answ,081110006,answer
a,they certainly are,answElab,081110006,inform
b,my home number is now you want my also my bill number don't you,answ,081110006,answer
a,yes,ackn,081110006,feedback
b,now,init,081110006,discourse
b,you want my also my bill number don't you,reqDirect,081110006,directive
a,yeah,backch,081110006,feedback
a,that would be lovely,answ,081110006,answer
a,thank you,thank,081110006,thanking
a,yeah,ackn,081110006,feedback
b,uh i'd like another telephone line please if that's possible,direct,081301008,directive
a,yeah certainly,accept,081301008,agreement
a,could you give me the number that you're on at the moment,reqInfo,081301008,directive
b,double uh,answElab,081301008,inform
a,double and which which area are you in came right have you got a bill in front of you,echo,081301008,feedback
a,and which which area are you in,reqInfo,081301008,directive
b,uh,answ,081301008,answer
a,right,ackn,081301008,feedback
a,have you got a bill in front of you,reqInfo,081301008,directive
b,hello,greet,081408012,greeting
b,um i've just changed over from to,inform,081408012,inform
b,and uh my lines were installed yesterday and they're working,inform,081408012,inform
b,i can ring out um,inform,081408012,inform
b,but when somebody tries to ring in,refer,081408012,None
b,the phone doesn't ring,inform,081408012,inform
b,it rings from their end,inform,081408012,inform
b,but the phone doesn't ring in the house,inform,081408012,inform
a,mm hmm,backch,081408012,feedback
a,right,ackn,081408012,feedback
a,okay,init,081408012,discourse
b,um sorry and i've there's another number at the house as well uh no yeah yeah is that why okay well the chances are that with the other number it's probably similar to be honest with the other number it's attached to my computer so i haven't put the phone on it so i don't know whether it rings right but i'd asked for that one to be i'd asked for my old number to be ported on that number as well,answ,081408012,answer
a,yeah,ackn,081408012,feedback
b,and i've there's another number at the house as well,inform,081408012,inform
a,mm mm,backch,081408012,feedback
a,right,ackn,081408012,feedback
a,let me just the details right so neither of them actually ring in the property no right now i am actually showing that that first number the engineers haven't actually finished the work on it yet um the exchange do you you were bringing that number back weren't you from your other company yeah yes there looks to be some sort of hold up i'll need to go through to our number portability department for you to find out what the problem is there ah right that one i'm showing that everything is done um yeah that was the is that right,selfTalk,081408012,None
a,right so,ackn,081408012,feedback
a,neither of them actually ring in the property,confirm,081408012,answer
a,no,confirm,081408012,answer
b,uh no,ackn,081408012,feedback
a,now,init,081408012,discourse
a,i am actually showing that that first number the engineers haven't actually finished the work on it yet um the exchange do you you were bringing that number back weren't you from your other company yeah yes there looks to be some sort of hold up i'll need to go through to our number portability department for you to find out what the problem is there ah right that one i'm showing that everything is done um yeah that was the is that right,inform,081408012,inform
a,the engineers haven't actually finished the work on it yet um the exchange,inform,081408012,inform
a,do you you were bringing that number back weren't you from your other company,reqInfo,081408012,directive
a,yeah,answ,081408012,answer
b,yeah yeah is that why okay well the chances are that with the other number it's probably similar to be honest with the other number it's attached to my computer so i haven't put the phone on it so i don't know whether it rings right but i'd asked for that one to be i'd asked for my old number to be ported on that number as well,ackn,081408012,feedback
b,is that why,reqInfo,081408012,directive
a,yes,answ,081408012,answer
a,there looks to be some sort of hold up,answElab,081408012,inform
a,i'll need to go through to our number portability department for you to find out what the problem is there,inform,081408012,inform
b,okay,ackn,081408012,feedback
b,well,init,081408012,discourse
b,the chances are that with the other number it's probably similar,expressPossibility,081408012,inform
b,to be honest with the other number it's attached to my computer so i haven't put the phone on it,inform,081408012,inform
b,so,init,081408012,discourse
b,i don't know whether it rings,inform,081408012,inform
a,ah right,ackn,081408012,feedback
a,that one i'm showing that everything is done um,inform,081408012,inform
b,right,ackn,081408012,feedback
b,but i'd asked for that one to be i'd asked for my old number to be ported on that number as well,inform,081408012,inform
a,yeah,ackn,081408012,feedback
a,that was the is that right,inform,081408012,inform
a,is that right,reqInfo,081408012,directive
b,hello,greet,081456012,greeting
b,if i was to buy a fax machine,inform,081456012,inform
b,what charges would i incur for using it,reqInfo,081456012,directive
a,mm hmm,backch,081456012,feedback
a,um fax calls are charged at the same rate as telephone calls,answ,081456012,answer
b,yeah,ackn,081456012,feedback
a,so,init,081456012,discourse
a,depending on on what um discount package or what um discount package or whatever you're using,inform,081456012,inform
b,ah ha,ackn,081456012,feedback
b,do i pay for incoming or just outgoing,reqInfo,081456012,directive
a,just outgoing,answ,081456012,answer
b,just outgoing aha right and if i had an answer machine with it what would that,echo,081456012,feedback
a,yes,ackn,081456012,feedback
a,it's just as if you were receiving a telephone call,inform,081456012,inform
b,aha,ackn,081456012,feedback
a,if you if you receive a fax,inform,081456012,inform
b,right,ackn,081456012,feedback
b,and if i had an answer machine with it,inform,081456012,inform
b,what would that,reqInfo,081456012,directive
a,um exactly the same,answ,081456012,answer
a,i mean you wouldn't pay for any incoming calls ah or anything like that,inform,081456012,inform
a,you'd only be paying for your you know sending outgoing faxes,inform,081456012,inform
b,hello,greet,081745012,greeting
b,um i'm just enquiring about uh another line put in,inform,081745012,inform
a,right,ackn,081745012,feedback
a,uh you've got the one line in at the moment have you,reqInfo,081745012,directive
b,i have,answ,081745012,answer
b,yeah yeah,answ,081745012,answer
a,okay,ackn,081745012,feedback
a,to have a second line put in would cost including VAT if you do it,inform,081745012,inform
b,is is that just the cost to get it put in,reqInfo,081745012,directive
a,that's just your installation charge,answ,081745012,answer
a,that's if you do it on the B T Together,answElab,081745012,inform
a,if you have it on the same account as your your initial line under a seperate telephone number,answElab,081745012,inform
a,your line rental would be including VAT a month for the extra line,answElab,081745012,inform
b,yeah uh,ackn,081745012,feedback
b,see all i want i mean i'm not really bothered about numbers or anything like that just that,inform,081745012,inform
b,i need a second line in one for like me me calls and one for me computer you know,inform,081745012,inform
a,right,ackn,081745012,feedback
a,yeah,ackn,081745012,feedback
a,it would be an extra a month including VAT line rental on the second line so you would be paying the two amounts of line rental,inform,081745012,inform
b,right,ackn,081745012,feedback
b,so,init,081745012,discourse
b,it'd be um so it's basically say a tenner extra on the so it's like a month so is that including the pound for the actual installation is it right,confirm,081745012,answer
b,so,init,081745012,discourse
a,a month,complete,081745012,None
a,that's correct,accept,081745012,agreement
b,so,init,081745012,discourse
b,is that including the pound for the actual installation is it,reqInfo,081745012,directive
a,no,answ,081745012,answer
a,your your including VAT is an initial one off charge on the B T Together discount package,answElab,081745012,inform
a,that's for your installation,answElab,081745012,inform
a,your line rental the extra amount you're going to be paying each month after that's paid is,answElab,081745012,inform
b,right,backch,081745012,feedback
b,oh hello,greet,081752013,greeting
b,i didn't realise you got through to so quick,expressOpinion,081752013,inform
a,haven't we surprised you,expressOpinion,081752013,inform
b,what it is is i'm having so much trouble getting on this Surftime,inform,081752013,inform
b,it's unbelievable,exclaim,081752013,None
b,i have been i have registered it a week ago,inform,081752013,inform
b,i have yet to use it,inform,081752013,inform
b,i've been in touch with the internet people,inform,081752013,inform
b,all i need to do is register,inform,081752013,inform
b,i've registered with you cause i couldn't do it on line,inform,081752013,inform
a,oh dear,backch,081752013,feedback
a,right have you  have you received a C D rom or an email back yet right ah ha that's right and you registered with them ah ha oh dear oh goodness on the technical helpdesk   right do you wanna give me your telephone number let's have a look at this because there has been in some of the exchanges in some areas there's been the um exchanges haven't been groomed or blocks of numbers haven't been groomed and it could be that you're falling into that category,backch,081752013,feedback
a,have you received a C D rom or an email back yet,reqInfo,081752013,directive
b,no,answ,081752013,answer
b,i i i i'm on the i'm on B T Internet anyway,inform,081752013,inform
b,um i get it for nothing cause i work for,inform,081752013,inform
b,um i couldn't register online so i went through it said on it ring which registered us and i try to put i put me in the um me in email in and me and me password and it just won't take it and i can't seem to get anybody to help me to sort it i've been onto the internet people at a minute yeah and they keep saying i got to refer back to you lot i wanna if i can't get on it soon i'm gonna have to cancel it yeah yeah yeah right yep,inform,081752013,inform
a,right,backch,081752013,feedback
a,ah ha,backch,081752013,feedback
a,that's right,ackn,081752013,feedback
a,and you registered with them,confirm,081752013,answer
b,which registered us,inform,081752013,inform
b,and i try to put i put me in the um me in email in and me and me password,inform,081752013,inform
b,and it just won't take it,inform,081752013,inform
b,and i can't seem to get anybody to help me to sort it,inform,081752013,inform
b,i've been onto the internet people at a minute,inform,081752013,inform
a,ah ha,backch,081752013,feedback
a,oh dear,backch,081752013,feedback
a,oh goodness,exclaim,081752013,None
a,on the technical helpdesk,reqInfo,081752013,directive
b,yeah,answ,081752013,answer
b,and they keep saying i got to refer back to you lot,inform,081752013,inform
b,if i can't get on it soon,inform,081752013,inform
b,i'm gonna have to cancel it,informIntent,081752013,commissive
a,right,ackn,081752013,feedback
a,do you wanna give me your telephone number,reqInfo,081752013,directive
a,let's have a look at this,offer,081752013,commissive
a,because there has been in some of the exchanges in some areas there's been the um exchanges haven't been groomed or blocks of numbers haven't been groomed,inform,081752013,inform
a,and it could be that you're falling into that category,expressPossibility,081752013,inform
b,yeah,backch,081752013,feedback
b,yeah,backch,081752013,feedback
b,yeah,backch,081752013,feedback
b,right,backch,081752013,feedback
b,yep,backch,081752013,feedback
b,oh uh what's the number i do for residential,reqInfo,081925010,directive
a,sorry,pardon,081925010,apology
b,what number do i dial for residential customer service,reqInfo,081925010,directive
a,this is residential,answ,081925010,answer
a,fyeah,ackn,081925010,feedback
a,how can i help,offer,081925010,commissive
b,oh right,ackn,081925010,feedback
b,uh my name is miss um i actually got my phone made one made just for incoming calls right um i'm actually going to pay my full phone bill today which is pound pence um what is the quickest well quickest way an how quick can i get my phone connected back on,identifySelf,081925010,None
b,um i actually got my phone made one made just for incoming calls,inform,081925010,inform
b,right,ackn,081925010,feedback
b,um i'm actually going to pay my full phone bill today which is pound pence,informIntent,081925010,commissive
b,um what is the quickest well quickest way an how quick can i get my phone connected back on,reqInfo,081925010,directive
a,oh right,backch,081925010,feedback
a,right,backch,081925010,feedback
b,i hope i've come through to the right line,expressWish,081946012,inform
b,i need to speak to somebody about my bill,inform,081946012,inform
a,right,ackn,081946012,feedback
a,yeah,ackn,081946012,feedback
a,no,negate,081946012,disagreement
a,i can help you on that,inform,081946012,inform
b,right,ackn,081946012,feedback
b,um i haven't got my customer reference number cos i'm silly,inform,081946012,inform
a,right,ackn,081946012,feedback
a,what's your what's your phone number,reqInfo,081946012,directive
b,it's yeah it's missus um place} um well i was supposed to make a payment of pound on on Monday i just wanna say i've been in a hospital and i've just paid it this morning,answ,081946012,answer
a,yeah,ackn,081946012,feedback
a,yep,ackn,081946012,feedback
a,right can you just confirm the name and address for me please that's lovely how can i help right oh dear right okay,ackn,081946012,feedback
a,can you just confirm the name and address for me please,reqInfo,081946012,directive
b,yeah,answ,081946012,answer
b,it's missus um place} um well i was supposed to make a payment of pound on on Monday i just wanna say i've been in a hospital and i've just paid it this morning,answElab,081946012,inform
a,that's lovely,appreciate,081946012,feedback
a,how can i help,offer,081946012,commissive
b,um well,init,081946012,discourse
b,i was supposed to make a payment of pound on on Monday,inform,081946012,inform
b,i just wanna say i've been in a hospital,inform,081946012,inform
b,and i've just paid it this morning,inform,081946012,inform
a,right,backch,081946012,feedback
a,oh dear,exclaim,081946012,None
a,right okay,ackn,081946012,feedback
b,yes,ackn,082029009,feedback
b,hello,greet,082029009,greeting
