Speaker,Utterance,Dialogue_Act,Dialogue_Act_ISO
SYS,"I'm sorry, but we do not have any departures from Detroit available for these dates for the budget you provided.",suggest,directive
SYS,Would you like to adjust your budget for this trip?,suggest,directive
USR,No I cannot.,thankyou,thanking
USR,Thank you for your help,thankyou,thanking
USR,Hi im looking for a nice destination that i could go to from Columbus,greeting,greeting
SYS,"I have 2 choices, Vancouver or Toronto.",suggest,directive
USR,What options are there for both,request,directive
SYS,I have a few.,inform,inform
SYS,Do you have a budget in mind?,inform,inform
USR,$3700 is my budget at the moment,inform,inform
SYS,I have the Obsidian Gem Inn in Vancouver which is a 4-star hotel at $1934.64 or the Hotel Richard in Toronto which is a 3-star hotel at $2393.00.,offer,commissive
SYS,Both are for a 14 day stay.,offer,commissive
USR,"Toronto seems like a better place this time of year, when would the flights be?",switch_frame,
SYS,I have a direct flight to Toronto departing on August 15th and returning on August 28th.,suggest,directive
SYS,Would you like me to book that for you?,suggest,directive
USR,would by chance have one leaving on the 19th,inform,inform
SYS,I have a flight available departing on August 24th and returning on September 6th,offer,commissive
USR,let’s go ahead and book this,switch_frame,
SYS,Perfect.,thankyou,thanking
SYS,Thank you.,thankyou,thanking
USR,thank you,thankyou,thanking
USR,"Hi, I have a big family and we can't afford a big vacation, we want to go to Atlantis from Mos Eisley for $3600 at most.",inform,inform
SYS,Do you have a preferred set of dates for this trip?,request,directive
USR,Nope,inform,inform
SYS,And how many adults and how many children are you bringing with you to Atlantis?,inform,inform
USR,12 adults and one child.,inform,inform
SYS,"I'm sorry, but we do not currently have any travel packages available for this destination.",suggest,directive
SYS,Do you have any other destinations that you might like to travel to?,suggest,directive
USR,"No, we are visiting family in Atlantis.",inform,inform
USR,Can you check once more please?,inform,inform
SYS,"I'm sorry, but I do not currently have any travel packages available for this location.",suggest,directive
SYS,Are you quite sure that I cannot interest you in another travel destination?,suggest,directive
USR,"Yes, I'm quite sure.",thankyou,thanking
USR,Thank you for your help.,thankyou,thanking
USR,"Hi, I'm leaving from Diagon Alley and going to Coruscant on a budget of $3400.",inform,inform
USR,"The dates don't matter, but I cannot afford anything over my budget.",inform,inform
SYS,And how many children and adults will you be bringing with you?,request,directive
USR,Just myself.,inform,inform
SYS,"I'm sorry, but this travel destination is not available.",no_result,
USR,What about Neverland on the same budget?,inform,inform
SYS,Neverland is unavailable.,suggest,directive
SYS,"Vancouver would be available, however.",suggest,directive
SYS,Would you like to select another location?,suggest,directive
USR,No I cannot do another location.,inform,inform
USR,What if I increased my budget by $400?,inform,inform
SYS,"I am sorry, but we do not have any trips available to the Neverland travel destination.",no_result,
USR,nor Coruscant?,inform,inform
SYS,Coruscant is not available either.,no_result,
USR,Ok thanks.,thankyou,thanking
USR,"Hi there, im from Vitoria and I want to go on vacation",inform,inform
SYS,where would you like to go?,request,directive
USR,I would like to go to Santo domingo,inform,inform
SYS,would a 7 day trip work for you?,suggest,directive
USR,"yes that sounds fine, looking to leave on the 19th",inform,inform
SYS,"great, I have a flight departing on the 19th and returning on the 25th of August",offer,commissive
USR,what is the hotel like?,switch_frame,
SYS,"It is called the Rose Sierra Hotel and it is a 3-star hotel that includes free breakfast, wifi and parking.",inform,inform
SYS,The total cost would be  $2170.90.,inform,inform
USR,what type of flight is that going to be?,request,directive
SYS,It is an economy class flight,inform,inform
USR,let’s book it please,inform,inform
SYS,Perfect.,inform,inform
SYS,Have a great trip.,inform,inform
USR,Thank you,thankyou,thanking
USR,"Hi, I'm looking for a trip  from Thursday, August 18, 2016 to Thursday, September 8, 2016 to Mexico City",inform,inform
SYS,I can look into your options for you.,request,directive
SYS,Where would you like to depart from?,request,directive
USR,Kingston,inform,inform
SYS,"I can book 5 days in Mexico City leaving from Kingston, Canada for 1226.20USD.",offer,commissive
SYS,"Or, if you're interested 12 days in Columbus for 1865.3USD.",offer,commissive
USR,How many stars do the hotels have and what's included with the hotel?,request_compare,directive
SYS,"The Mexico City hotel is 3.0 stars with free breakfast and free wifi, while the Columbus hotel is 2.5 stars with free parking and free wifi.",inform,inform
USR,I prefer 3 stars and above.,request_alts,directive
USR,"I'm flexible with my budget, is there anything else in Columbo?",request_alts,directive
SYS,I can get you 12 days at a 3.5 start hotel in Columbus for 1942.52USD.,offer,commissive
USR,That's looking good.,inform,inform
USR,I want to see a few more options before I choose one.,inform,inform
USR,There's nothing available in Porto?,inform,inform
SYS,You can spend 13 days in Porto at a 3.0 star hotel for 2112.86USD.,offer,commissive
USR,Porto would be great.,moreinfo,directive
USR,Can you tell me more about the hotel.,moreinfo,directive
SYS,The hotel is Deluxe Hotel  and has free breakfast and wifi.,suggest,directive
SYS,"You can also stay at Amistad for 13 days, this hotel has a 3.5 rating as well with free breakfast and wifi.",suggest,directive
USR,Excellent.,inform,inform
USR,I'll stay at the Amistad for 13 days.,inform,inform
USR,Thanks for your help.,inform,inform
USR,Hi im from Caprica looking to book a vacation to Hyrule,inform,inform
SYS,"Hello, I am sorry but we do not have anything available for those destinations  Are you interested in other destinations?",suggest,directive
USR,"Ya for sure, not sure where, lets see what would fit my plans between the 13th of august and the 16th",inform,inform
SYS,would you be interested in going to Vancouver or Toronto?,offer,commissive
USR,How about if i leave fro Birmingham?,inform,inform
SYS,"I am sorry, it's a busy time of year and all I have available at the moment is Vancouver or Toronto.",inform,inform
USR,sure lets try Vancouver then,switch_frame,
SYS,Do you have a date in mind?,request,directive
USR,I want to leave on the 13th of august and be back on the 16th,inform,inform
SYS,Do you have a date in mind?,request,directive
USR,I want to leave on the 13th,inform,inform
SYS,I have nothing available on the 13th.,suggest,directive
SYS,I do have something available from the 17th to the 25th of August.,suggest,directive
USR,you know none of these are meeting my requests.,thankyou,thanking
USR,i will just go with another service.,thankyou,thanking
USR,Thank you.,thankyou,thanking
USR,"Hey man, imma leave from Godric's Hollow on August 27, 2016 and go to Goiania.",greeting,greeting
USR,Can't pay more than 4300USD.,greeting,greeting
USR,Watcha got?,greeting,greeting
SYS,"Hello, how many people will be travelling to Goiania?",greeting,greeting
USR,Just me,inform,inform
SYS,I cannot find any trips to Goiania leaving from Godric's Hollow.,suggest,directive
SYS,Is there another nearby city you could depart from?,suggest,directive
USR,yeah how about Montreal?,inform,inform
SYS,I can book you 11 days in Goiania for 3374.42USD.,offer,commissive
SYS,Are you interested?,offer,commissive
USR,that's leaving on August 27th?,confirm,answer
SYS,"You will leave Montreal on Tuesday, August 16th 2016.",inform,inform
USR,nothing closer to the 27th?,request_alts,directive
SYS,I can book 11 days at the same hotel for 3549.83USD leaving on August 25.,suggest,directive
USR,ya that's awesome.,switch_frame,
USR,I'll book it.,switch_frame,
USR,thanks man.,switch_frame,
SYS,"Ok, I will book that trip.",inform,inform
SYS,Enjoy.,inform,inform
USR,HI im from Alexandria looking to book a 12 day vacation,inform,inform
SYS,"I only have flights available to Vancouver, Canada at the moment.",suggest,directive
SYS,Would that be satisfactory?,suggest,directive
USR,no sorry that wouldn’t.,thankyou,thanking
USR,I will look elsewhere thank you!,thankyou,thanking
USR,Hi im from termina can we find a vacation that starts on the 13th?,greeting,greeting
SYS,"The earliest available flight I have leaves on September 20th, leaving from Dallas with Vancouver, Canada as a destination.",suggest,directive
USR,How about if i leave from Vancouver where would i be able to go?,request,directive
SYS,Either Calgary or Toronto.,suggest,directive
USR,and if i were to leave from columbus?,inform,inform
SYS,"From Columbus, I have  flights available to Toronto or Vancouver.",suggest,directive
USR,what do we have for Toronto?,switch_frame,
SYS,From Toronto I have packages available to Calgary or Vancouver.,request,directive
SYS,I am only showing the cheapest packages.,request,directive
SYS,"Perhaps if you give me your budget, I can find other more exciting destinations.",request,directive
USR,"i have a budget of $3000, and let’s say that i leave from Mexico City",inform,inform
SYS,"I apologize, but leaving from Mexico City, the only available destinations are Toronto or Vancouver.",sorry,apology
SYS,Perhaps if we change your dates?,sorry,apology
USR,no that is all thank you i will try another service.,thankyou,thanking
USR,Thank you,thankyou,thanking
USR,Hi.,inform,inform
USR,"I'm looking for an adventure from Thursday, August 18 to Saturday, September 3.",inform,inform
USR,I'm thinking of going to Fortaleza.,inform,inform
USR,"Yes, with free breakfast of course.",inform,inform
USR,I'm leaving from Essen.,inform,inform
SYS,"I can book 8 days in Fortaleza for 2026.51USD, 9 days in Ciudad Juarez for 3393.97USD, 9 days in Burlington for 2119.26USD, or 9 days in Buenos Aires for 2085.15USD.",inform,inform
SYS,All of these options have free breakfast.,inform,inform
USR,Can you tell me more about the Fortaleza package?,switch_frame,
SYS,I can book 8 days in Fortaleza for 2026.51USD.,inform,inform
USR,How many stars is the hotel?,request,directive
SYS,The hotel in Fortaleza is 3.0 stars with a user rating of 7.15 stars.,inform,inform
USR,Is there free wifi?,request,directive
SYS,There is free wifi and free parking in addition to free breakfast.,inform,inform
USR,I like the Fortaleza package.,request_compare,directive
USR,"How about the Ciudad Juarez and Burlington packages, is there free wifi and parking in addition to breakfast?",request_compare,directive
SYS,"The hotel in Ciudad Juarez has free parking and wifi, but the hotel in Burlington does not offer free parking.",inform,inform
SYS,"It does, however, have free wifi.",inform,inform
USR,I'll book the Fortaleza package please.,inform,inform
SYS,"You will leave Essen at 10:00 am - Wednesday, August 17th 2016.",thankyou,thanking
SYS,Thank you for using this service.,thankyou,thanking
USR,Perfect.,thankyou,thanking
USR,Thank you for your help,thankyou,thanking
USR,"Hi, my name is Harry Potter and I'd like to go to Hogsmeade leaving from Kakariko Village on Saturday, August 13th for 3 nights with 11 friends.",inform,inform
SYS,"I can book 6 days at Obsidian Gem Inn in Vancouver, Canada for 10540.39USD.",suggest,directive
SYS,"Would you like to leave from Dallas, USA?",suggest,directive
USR,What?,inform,inform
USR,No.,inform,inform
USR,I'm looking for a trip to Hogsmeade with 11 of my friends.,inform,inform
SYS,"I can offer you a trip for 12 adults is 6 days at Obsidian Gem Inn in Vancouver, Canada for 10540.39USD.",suggest,directive
SYS,Shall I go ahead and book this?,suggest,directive
USR,I'll have to talk about it with my friends and get back to you.,thankyou,thanking
USR,Thank you for your help.,thankyou,thanking
SYS,Goodbye,goodbye,goodbye
USR,Hi looking to go on vacation on the 13th of august,greeting,greeting
SYS,"Our best deal right now is to Vancouver, Canada.",suggest,directive
USR,How about Naples,inform,inform
SYS,and which city will you be departing from?,request,directive
USR,Vancouver,inform,inform
SYS,"Perfect, any idea how long you would like to spend in Naples and when you would like to depart?",inform,inform
USR,im planning on a three day get away from the 13th to the 16th of August,inform,inform
SYS,I have an availability on August 19th and it is for a 6 day stay.,suggest,directive
SYS,Are you okay with that?,suggest,directive
USR,ya that sounds interesting can you tell me more about this package?,moreinfo,directive
SYS,"You would be staying at the Courtyard Resort which is a 3-star hotel, breakfast and wifi included.",inform,inform
SYS,The flight is a direct flight from Vancouver to Naples on economy class.,inform,inform
SYS,The total cost is $2349.83USD.,inform,inform
USR,are there any other Hotels?,request_alts,directive
SYS,"There is also the Tower Hotel which is a 4-star hotel, but that one is only available from August 24th to August 28th.",suggest,directive
USR,How much would that be?,request,directive
SYS,$2016.37USD,inform,inform
USR,and is that flight in Business class?,request,directive
SYS,No it would be in economy class,inform,inform
USR,can we upgrade it?,confirm,answer
SYS,Absolutely.,suggest,directive
SYS,The new price  would work out to $2568.35USD.,suggest,directive
SYS,Would you like me to book that for you?,suggest,directive
USR,yes please that sounds perfect!,thankyou,thanking
USR,Thank You!,thankyou,thanking
USR,Hi.,inform,inform
USR,I live in Busan and I'd like to go to Las Vegas from Wednesday August 17 to Monday September 5.,inform,inform
USR,What's available?,inform,inform
SYS,"I can get you 7 days in Vancouver, Canada for 2742.44USD.",suggest,directive
SYS,Does this interest you?,suggest,directive
USR,"Perhaps another time, I'm really just looking for Las Vegas.",inform,inform
SYS,Do you have a budget in mind?,request,directive
USR,Around 3000USD,inform,inform
SYS,You can book 10 days in Cairo for 2532.89USD.,no_result,
SYS,"I cannot find anything in Las Vegas, within your budget.",no_result,
USR,How much is a package to Punta Cana?,request,directive
SYS,I can book 12 days in Punta Cana for 3506.84USD.,offer,commissive
USR,I'd like to compare the Cairo and Punta Cana packages.,request_compare,directive
USR,"What are the hotels, how many stars, free wifi, free breakfast?",request_compare,directive
SYS,In Cairo you would be staying at Mellow Horizon Inn & Suites.,inform,inform
SYS,"It has a 3.0 star rating with free wifi, breakfast, and parking.",inform,inform
SYS,In Punta Cana you would be staying at Atlantis Gorge.,inform,inform
SYS,It has a 2.5 star rating with free wifi and breakfast.,inform,inform
USR,I'd like to book the Cairo package.,inform,inform
USR,Thank you!,inform,inform
SYS,"Ok, I will book this package.",inform,inform
SYS,Enjoy your trip.,inform,inform
USR,I'm a polygamist and I'd like to travel with my 6 partners and 1 child to San Juan from Pittsburgh on a budget of 6600 USD,inform,inform
SYS,I can book 8 days in Pittsburgh for 7 adults and 1 child for 6067.58USD.,hearmore,
SYS,Would you like to hear more options?,hearmore,
USR,"Can you tell me how much the hotel is per night, in case we make a last minute decision to stay one more night?",inform,inform
SYS,The hotel in Pittsburgh would cost 6067.58USD to stay from August 17 to August 24.,suggest,directive
USR,How much would it cost from August 17th to August 25th?,inform,inform
SYS,"I'm sorry, I cannot find any options available in Pittsburgh for August 17 to August 25 that depart from San Juan.",no_result,
USR,Ok I'll book the package with 8 days in Pittsburgh from August 17th to the 24th.,thankyou,thanking
USR,Thank you.,thankyou,thanking
SYS,Booking that package for you now - have a good day,inform,inform
USR,"Good afternoon, I'd like to book a trip with my son from August 18 to August 29.",greeting,greeting
USR,He and I would be leaving from Curitiba.,greeting,greeting
USR,What destinations can you offer?,greeting,greeting
SYS,I can offer 11 days in Hamburg for 3550.41USD.,offer,commissive
SYS,You would return on August 28th,offer,commissive
USR,Goodness that's too expensive.,inform,inform
USR,Is there anything you can offer around $2600?,inform,inform
SYS,"I can also offer 10 days in Vancouver, Canada for 4319.83USD, 9 days in Frankfurt for 4615.35USD, or 12 days in Paris for 4771.39USD.",suggest,directive
USR,Is there anything for 2600USD between the dates of August 18 and August 29th?,inform,inform
USR,For less than 10 days?,inform,inform
SYS,Would you be interested in spending 9 days in Manaus for 1162.21USD?,offer,commissive
USR,Fantastic!,switch_frame,
USR,What are the departure and arrival dates?,switch_frame,
SYS,"You would depart on Friday, August 19th and return Saturday, August 28th.",inform,inform
USR,"What is the hotel, and how many stars does it have?",request,directive
SYS,The hotel is called Hotel Mundo and has a 2.5 star rating.,suggest,directive
SYS,"I can also offer you 5 days at Scarlet Palms Resort, a 3.5 star rating hotel, for 1358.78USD.",suggest,directive
USR,I like the Scarlet Palms Resort.,request,directive
USR,What are the departure and arrival dates?,request,directive
SYS,"You will depart Wednesday, August 24th 2016 and return home on Sunday, August 28th 2016.",inform,inform
USR,Is there an indoor pool at the hotel?,,
SYS,There is free wifi and breakfast at the hotel.,inform,inform
USR,Ok I'll book this one.,inform,inform
SYS,Sure thing.,thankyou,thanking
SYS,I will book 5 days at the Scarlet Palms resort for one adult and one child.,thankyou,thanking
SYS,Thank you.,thankyou,thanking
USR,Thank you!,thankyou,thanking
USR,"Hi, my family and i are booking a trip to Sacramento, can you help us?",greeting,greeting
SYS,"Sure, where would you be flying out of?",request,directive
USR,we would be coming from San Diego,inform,inform
SYS,How many people will you be?,request,directive
USR,there will be 3 kids and myself (an adult),inform,inform
SYS,Are there any specific dates you would like to book for?,request,directive
USR,not really,inform,inform
SYS,how long would you like to stay?,request,directive
USR,depends on the package we get,inform,inform
SYS,do you have a budget in mind?,request,directive
USR,im willing to spend at most $4200,inform,inform
SYS,I have something available at the Bronze Luxury Hotel which is a 5-star hotel for $2672.25 departing on Aug 19th and returning on August 26th.,offer,commissive
SYS,Is this suitable?,offer,commissive
USR,yes actually that would be wonderful can i upgrade the flight?,confirm,answer
SYS,"Of course you can, the new price would be $3064.23USD.",suggest,directive
SYS,Would you like me to book that for you?,suggest,directive
USR,yes please that sounds perfect!,thankyou,thanking
USR,Thank you.,thankyou,thanking
USR,"Hi I need a break from Gotham City, the crime rate is just too high.",inform,inform
USR,I'd like to go to Hogsmead with 3 kids and 9 adults.,inform,inform
SYS,I cannot find any trips from Gotham City to Hogsmead.,suggest,directive
SYS,What about Dallas to Vancouver?,suggest,directive
USR,"No thank you, in that case I will stay in Gotham City.",inform,inform
USR,Thanks for your help.,inform,inform
SYS,Goodbye.,goodbye,goodbye
USR,Hello!,inform,inform
USR,"I live in Munich and I'd like to book any kind of trip between Monday, August 15th and Friday August 26th for 3 adults and 3 kids.",inform,inform
SYS,"I can book 8 days in Toronto for 5844.99USD, 8 days in Vancouver for 6088.3USD, or 8 days in Calgary for 11900.25USD.",offer,commissive
SYS,Do any of these destinations interest you?,offer,commissive
USR,I have a budget of 2800 USD... Do you have anything cheaper?,inform,inform
USR,Perhaps for a shorter duration?,inform,inform
SYS,"I can book 9 days in Hamburg for 1296.31USD, 5 days in Rome for 1502.94USD, 5 days in Stuttgart for 2370.61USD, 6 days in Mannheim for 2460.91USD, 9 days in Paris for 2505.13USD, or 6 days in Frankfurt for 2762.18USD.",offer,commissive
USR,I'll book 6 days in Mannheim.,switch_frame,
SYS,Ok.,suggest,directive
SYS,I can upgrade your flights to business class for a total of 2715.60USD.,suggest,directive
SYS,Would you like that?,suggest,directive
USR,Yes perfect.,moreinfo,directive
USR,How is the hotel?,moreinfo,directive
SYS,The hotel is 5 stars and includes free wifi with an onsite spa.,inform,inform
USR,Perfect!,inform,inform
USR,I will book this one.,inform,inform
SYS,You will depart Munich at 9:00 am - August 17th and leave Mannheim at 3:00 am - August 22nd.,inform,inform
SYS,I will book this trip to The Regal Resort for you.,inform,inform
USR,Thank you!,thankyou,thanking
USR,Hi im from punta cana looking to go on a trip,inform,inform
SYS,Where would you like to travel to?,request,directive
USR,Im thinking to Fukuoka,inform,inform
SYS,Did you have any specific dates in mind?,request,directive
USR,maybe the 15th of August until the 20th,inform,inform
SYS,How many people will be travelling with you?,request,directive
USR,just myself,inform,inform
SYS,would the 15th to the 18th work for you?,offer,commissive
USR,where would i be staying?,switch_frame,
SYS,HOTEL Sugoi in Fukuoka,inform,inform
USR,what is the rating,request,directive
SYS,It is a 3-star hotel and your package includes free wifi,inform,inform
USR,and what if i were to go to Essen?,inform,inform
SYS,I have a couple of choices in Essen.,suggest,directive
SYS,Are you looking for a 2-star or a 3-star option?,suggest,directive
USR,The three star option,switch_frame,
SYS,Your best choice would be the Relaxation Hotel which is a 3-star hotel and includes breakfast and wifi.,offer,commissive
SYS,It is available either from August 15th to August 27 or from August 27th to September 2nd.,offer,commissive
SYS,Do either one of those dates fit into your schedule?,offer,commissive
USR,these dates don’t look like they would be compatible with my schedule.,inform,inform
USR,"Hey, how about going to hiroshima?",inform,inform
SYS,"I apologize, I have nothing available to Hiroshima.",sorry,apology
SYS,Would you like me to explore other options?,sorry,apology
USR,Is there a flight to Santiago,inform,inform
SYS,"I have several that suit your dates.. Your stay would be at the Una casa which is a 3-star hotel and includes free breakfast, wifi and parking, should you wish to rent a car and explore the surrounding areas.",inform,inform
SYS,The flight departs on August 15th and returns on the 20th.,inform,inform
USR,can you compare the price of this and the one to the package in St. Loius,request_compare,directive
SYS,The package to Santiago is $2455.37 as opposed to the package to Essen which would be $3016.94.,inform,inform
SYS,Please keep in mind that the trip to Essen is a longer trip though.,inform,inform
USR,and how much is the trip to Fukuoka and what are the dates?,request,directive
SYS,That package was $3794 based on economy class.,inform,inform
SYS,It departed on August 15th with a return date of August 18th.,inform,inform
USR,which of these have the best rated hotels?,request_compare,directive
SYS,"In Fukuoka, the hotel is a 3-star, in Essen you have the option of a 2-star at $3016.94 or a 3-star at $3073.16 and in Santiago the hotel has a 3-star rating.",inform,inform
USR,it seems to me that the packages in Essen are the best offer.,request,directive
USR,So what are the dates?,request,directive
SYS,Are you interested in the 2-star option or the 3-star option?,confirm,answer
USR,the 3 star hotel seems to be the best how much would it be to book a business class flight?,request,directive
SYS,"If you are looking for a business class flight, I only have one package that has the availability.",suggest,directive
SYS,It would be at the Motel Ivory which is the 2-star hotel and  is only available from August 26 to September 1st.,suggest,directive
SYS,The total price for that package is $3314.99.,suggest,directive
USR,If i were to choose economy class what would it be?,inform,inform
SYS,"At the 2-star Motel Ivory Safari, for your original departure date of August 15 it is $3016.94.",confirm,answer
SYS,"At the 3-star Relaxation Hotel,  it is $3073.16.",confirm,answer
SYS,Is Essen your final choice for the destination?,confirm,answer
USR,yes i believe it will be.,inform,inform
USR,lets book the 3 star hotel,inform,inform
SYS,Fantastic.,inform,inform
SYS,Let me get all your information so that we can finalize your reservation.,inform,inform
USR,sounds perfect!,thankyou,thanking
USR,thank you!,thankyou,thanking
USR,Hey!,inform,inform
USR,You can help me by finding a trip to Philadelphia from Maceio.,inform,inform
SYS,In Philadelphia you can stay at a 2.5 star hotel for 11 days.,suggest,directive
